location,size,total_sqft,bath,price,bhk,price_per_sqft
LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1,4812
Sector 2 HSR Layout,3 BHK,1665.0,3.0,110.0,3,6606
Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2,4716
Marathahalli,3 BHK,1693.0,3.0,125.0,3,7383
Whitefield,3 Bedroom,1200.0,3.0,56.58,3,4715
EPIP Zone,3 BHK,1709.0,3.0,80.0,3,4681
Kasavanhalli,2 BHK,1375.0,2.0,72.0,2,5236
Vijayanagar,3 BHK,1200.0,2.0,75.0,3,6250
Yelahanka,2 BHK,1315.0,2.0,75.0,2,5703
Yelahanka,6 Bedroom,3600.0,6.0,200.0,6,5555
Vijayanagar,2 BHK,1178.0,2.0,82.0,2,6960
Mahadevpura,3 BHK,1400.0,2.0,65.8,3,4700
Thanisandra,2 BHK,1093.0,2.0,72.0,2,6587
Magadi Road,5 Bedroom,5000.0,6.0,360.0,5,7200
Whitefield,3 BHK,2210.0,3.0,156.0,3,7058
Uttarahalli,2 BHK,1150.0,2.0,70.0,2,6086
Whitefield,2 BHK,1173.0,2.0,78.2,2,6666
other,3 BHK,1717.0,3.0,120.0,3,6988
Mallasandra,2 BHK,1325.0,2.0,65.0,2,4905
Hoodi,3 BHK,1370.0,3.0,67.0,3,4890
other,3 BHK,1409.0,2.0,62.0,3,4400
Bellandur,2 BHK,1200.0,2.0,52.0,2,4333
Thanisandra,2 BHK,1200.0,2.0,53.5,2,4458
Hennur Road,2 BHK,1232.0,2.0,88.0,2,7142
5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257
other,2 Bedroom,1225.0,2.0,65.0,2,5306
Padmanabhanagar,2 BHK,1067.0,2.0,52.0,2,4873
other,3 BHK,1750.0,3.0,75.0,3,4285
Bannerghatta Road,2 BHK,1240.0,2.0,71.0,2,5725
Hulimavu,2 Bedroom,1200.0,2.0,75.0,2,6250
Kaggadasapura,3 BHK,1540.0,3.0,75.0,3,4870
other,3 BHK,1504.0,2.0,102.0,3,6781
other,2 BHK,1116.0,2.0,49.8,2,4462
Hennur Road,3 BHK,2365.0,4.0,175.0,3,7399
Vijayanagar,2 BHK,864.0,2.0,45.0,2,5208
Thanisandra,3 BHK,1698.0,3.0,107.0,3,6301
Raja Rajeshwari Nagar,2 BHK,1060.0,2.0,48.0,2,4528
Sarjapur  Road,3 BHK,1484.0,2.0,65.0,3,4380
Hennur Road,2 BHK,1310.0,2.0,66.0,2,5038
Marathahalli,3 BHK,1693.0,3.0,125.0,3,7383
Jigani,3 BHK,1230.0,3.0,60.0,3,4878
other,2 BHK,1150.0,2.0,60.0,2,5217
Munnekollal,3 BHK,1385.0,2.0,66.5,3,4801
Tumkur Road,2 BHK,1066.0,2.0,52.5,2,4924
other,3 BHK,1625.0,3.0,92.0,3,5661
Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409
Raja Rajeshwari Nagar,6 Bedroom,3900.0,6.0,195.0,6,5000
7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065
Varthur,3 BHK,1395.0,2.0,79.0,3,5663
Banaswadi,5 Bedroom,1903.0,6.0,140.0,5,7356
other,3 BHK,1490.0,2.0,92.0,3,6174
Yeshwanthpur,2 BHK,1144.0,2.0,67.0,2,5856
other,4 Bedroom,2400.0,5.0,140.0,4,5833
Hormavu,2 BHK,1143.0,2.0,53.0,2,4636
Whitefield,2 BHK,1216.0,2.0,75.0,2,6167
other,2 BHK,1044.0,2.0,60.0,2,5747
Prithvi Layout,2 BHK,1352.0,3.0,93.0,2,6878
Hennur Road,3 BHK,1552.0,3.0,75.0,3,4832
Bellandur,3 BHK,1785.0,3.0,120.0,3,6722
Pai Layout,2 BHK,810.0,2.0,34.5,2,4259
other,3 BHK,1595.0,3.0,70.39,3,4413
Babusapalaya,3 BHK,1410.0,2.0,65.0,3,4609
other,3 BHK,1640.0,3.0,84.0,3,5121
Bannerghatta Road,3 BHK,1305.0,2.0,60.0,3,4597
other,2 BHK,1200.0,2.0,54.0,2,4500
Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2,4484
other,2 BHK,959.0,2.0,42.5,2,4431
Rachenahalli,2 BHK,1050.0,2.0,55.5,2,5285
Yelahanka,2 BHK,1390.0,2.0,70.21,2,5051
Kenchenahalli,3 BHK,1280.0,2.0,69.0,3,5390
Yelahanka,3 BHK,1614.0,3.0,95.0,3,5885
Kasturi Nagar,2 BHK,1000.0,2.0,58.0,2,5800
Marathahalli,2 BHK,1196.0,2.0,57.9,2,4841
Sarjapur  Road,3 BHK,1220.0,3.0,57.0,3,4672
other,2 BHK,1141.0,2.0,55.0,2,4820
other,3 BHK,1240.0,2.0,65.0,3,5241
other,2 BHK,1293.0,2.0,75.0,2,5800
Yelahanka New Town,3 BHK,1599.0,3.0,80.0,3,5003
other,3 BHK,1885.0,3.0,90.0,3,4774
Sarjapur  Road,2 BHK,1050.0,2.0,63.5,2,6047
Marathahalli,3 BHK,1595.0,3.0,88.0,3,5517
Sarjapur  Road,2 BHK,1035.0,2.0,49.0,2,4734
Sarjapur  Road,3 BHK,1457.0,3.0,85.0,3,5833
Bannerghatta,2 BHK,1100.0,2.0,66.0,2,6000
Whitefield,3 BHK,1655.0,3.0,120.0,3,7250
Kanakpura Road,3 BHK,1691.2,3.0,115.0,3,6799
Kanakpura Road,2 BHK,1155.0,2.0,50.125,2,4339
Marathahalli,3 BHK,2122.0,3.0,125.0,3,5890
Vasanthapura,2 BHK,1050.0,2.0,47.0,2,4476
5th Phase JP Nagar,3 BHK,1240.0,3.0,60.0,3,4838
Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3,5191
other,3 BHK,1374.0,2.0,88.0,3,6404
8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000
Hebbal,3 BHK,1355.0,3.0,83.87,3,6189
Banashankari,2 BHK,1040.0,2.0,45.0,2,4326
Sarjapur  Road,2 BHK,1350.0,2.0,68.0,2,5037
Hennur,3 BHK,2400.0,3.0,135.0,3,5625
Haralur Road,3 BHK,1560.0,3.0,90.0,3,5769
other,2 BHK,1250.0,2.0,60.0,2,4800
Hennur Road,2 BHK,1015.0,2.0,50.0,2,4926
Kadugodi,3 BHK,1351.0,2.0,78.0,3,5773
Yelahanka New Town,2 BHK,960.0,2.0,50.0,2,5208
other,2 BHK,1110.0,2.0,52.0,2,4684
R.T. Nagar,3 BHK,1680.0,3.0,72.0,3,4285
CV Raman Nagar,2 BHK,1051.0,2.0,61.0,2,5803
Uttarahalli,2 BHK,1099.0,2.0,65.0,2,5914
Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,3,5833
Vittasandra,3 BHK,1650.0,3.0,85.0,3,5151
Gollarapalya Hosahalli,3 BHK,1320.0,3.0,60.0,3,4545
Mysore Road,3 BHK,1500.0,3.0,74.0,3,4933
Whitefield,2 BHK,1180.0,2.0,70.0,2,5932
Kadugodi,2 BHK,1010.0,2.0,50.0,2,4950
Choodasandra,3 BHK,1580.0,3.0,105.0,3,6645
Iblur Village,3 BHK,1920.0,3.0,130.0,3,6770
Sanjay nagar,3 BHK,1200.0,2.0,76.0,3,6333
Kalena Agrahara,2 BHK,1040.0,2.0,45.0,2,4326
Hulimavu,3 BHK,1430.0,2.0,90.0,3,6293
Uttarahalli,3 BHK,1215.0,2.0,52.85,3,4349
Thanisandra,3 BHK,1564.0,3.0,105.0,3,6713
other,3 Bedroom,800.0,2.0,52.0,3,6500
Kasavanhalli,2 BHK,1200.0,2.0,60.0,2,5000
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,48.79,2,4325
other,4 BHK,2000.0,4.0,135.0,4,6750
Yelahanka,3 BHK,1650.0,3.0,105.0,3,6363
Yelahanka,2 BHK,1200.0,2.0,55.0,2,4583
Kengeri Satellite Town,2 BHK,985.0,2.0,42.0,2,4263
Ramagondanahalli,3 BHK,1475.0,2.0,63.0,3,4271
Sarjapur  Road,3 BHK,1157.0,2.0,53.99,3,4666
Gottigere,4 Bedroom,2500.0,3.0,120.0,4,4800
GM Palaya,2 BHK,1030.0,2.0,60.0,2,5825
other,2 BHK,1000.0,2.0,46.0,2,4600
Kanakapura,2 BHK,1283.0,2.0,68.0,2,5300
Electronic City Phase II,3 BHK,875.0,2.0,40.0,3,4571
other,2 BHK,1200.0,2.0,52.0,2,4333
Kathriguppe,3 BHK,1250.0,2.0,68.75,3,5500
Old Madras Road,4 BHK,3630.0,6.0,196.0,4,5399
Panathur,2 BHK,1199.0,2.0,85.0,2,7089
other,2 BHK,1280.0,2.0,90.0,2,7031
other,2 BHK,1190.0,2.0,55.0,2,4621
Yelachenahalli,2 BHK,1100.0,2.0,60.0,2,5454
Harlur,2 BHK,1133.0,2.0,55.0,2,4854
Somasundara Palya,4 BHK,2400.0,3.0,140.0,4,5833
Whitefield,2 BHK,1280.0,2.0,69.0,2,5390
Horamavu Agara,3 BHK,1250.0,3.0,65.0,3,5200
HRBR Layout,3 BHK,1335.0,2.0,87.0,3,6516
Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401
other,3 BHK,1578.0,3.0,73.9,3,4683
Sarjapur  Road,3 BHK,1700.0,3.0,79.9,3,4700
Vidyaranyapura,2 BHK,1120.0,2.0,70.0,2,6250
Electronic City,1 BHK,435.0,1.0,22.0,1,5057
Magadi Road,2 BHK,1116.0,2.0,51.89,2,4649
Old Madras Road,3 BHK,1480.0,3.0,95.0,3,6418
Hormavu,2 BHK,1000.0,2.0,50.0,2,5000
Thanisandra,2 BHK,1265.0,2.0,83.0,2,6561
Devanahalli,3 BHK,1700.0,3.0,88.2,3,5188
other,2 BHK,1475.0,2.0,70.0,2,4745
BTM 2nd Stage,2 BHK,1265.0,2.0,55.0,2,4347
Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833
Brookefield,2 BHK,1080.0,2.0,50.0,2,4629
Whitefield,3 BHK,2023.0,4.0,130.0,3,6426
other,2 BHK,2400.0,2.0,125.0,2,5208
Kadubeesanahalli,3 BHK,1545.0,2.0,66.0,3,4271
6th Phase JP Nagar,3 BHK,1350.0,2.0,58.0,3,4296
Hoodi,2 BHK,1108.0,2.0,74.23,2,6699
Marathahalli,3 BHK,1730.0,3.0,115.0,3,6647
other,3 BHK,1427.0,2.0,70.0,3,4905
Thigalarapalya,3 BHK,2215.0,4.0,150.0,3,6772
Brookefield,2 BHK,1230.0,2.0,55.0,2,4471
Mahadevpura,2 BHK,1438.0,2.0,89.0,2,6189
7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944
other,3 BHK,1350.0,3.0,68.0,3,5037
Kaggadasapura,3 BHK,1560.0,2.0,72.0,3,4615
other,3 BHK,2274.24,4.0,160.0,3,7035
Sonnenahalli,3 BHK,1484.0,3.0,74.18,3,4998
Bharathi Nagar,2 BHK,1351.0,2.0,74.0,2,5477
KR Puram,3 BHK,1430.0,2.0,61.0,3,4265
Sarjapur  Road,2 BHK,984.0,2.0,55.0,2,5589
Jalahalli,3 BHK,1770.0,3.0,100.0,3,5649
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250
Margondanahalli,2 Bedroom,1140.0,2.0,60.0,2,5263
Kanakpura Road,2 BHK,1296.0,2.0,89.0,2,6867
other,3 BHK,1570.0,3.0,80.0,3,5095
other,3 BHK,1495.0,2.0,65.0,3,4347
Hoodi,3 BHK,1530.0,2.0,67.0,3,4379
Bellandur,2 BHK,1088.0,2.0,48.0,2,4411
Hosa Road,3 BHK,1533.0,3.0,98.18,3,6404
Rachenahalli,2 BHK,1100.0,2.0,68.0,2,6181
Thubarahalli,3 BHK,1540.0,3.0,90.0,3,5844
Hosa Road,2 BHK,1040.0,2.0,68.59,2,6595
other,3 BHK,1350.0,3.0,75.0,3,5555
Vijayanagar,2 BHK,920.0,2.0,60.0,2,6521
other,6 Bedroom,2300.0,7.0,160.0,6,6956
Yelahanka New Town,4 BHK,2095.0,3.0,109.0,4,5202
Begur Road,2 BHK,1100.0,2.0,71.42,2,6492
Vijayanagar,2 BHK,1019.0,2.0,58.0,2,5691
Harlur,3 BHK,1756.0,3.0,128.0,3,7289
Whitefield,3 BHK,2134.0,4.0,118.0,3,5529
Hosa Road,2 BHK,1369.1,2.0,98.0,2,7157
other,3 BHK,2515.0,4.0,155.0,3,6163
Thigalarapalya,3 BHK,2215.0,4.0,154.0,3,6952
other,3 BHK,1440.0,3.0,72.0,3,5000
Hennur Road,3 BHK,1186.0,2.0,55.33,3,4665
Kudlu,3 BHK,1600.0,3.0,79.0,3,4937
Banashankari Stage III,3 BHK,1305.0,2.0,59.0,3,4521
other,2 BHK,1200.0,2.0,56.0,2,4666
Begur,3 Bedroom,3500.0,4.0,185.0,3,5285
Dasarahalli,2 BHK,1220.0,2.0,52.0,2,4262
Kanakapura,4 BHK,2130.0,4.0,120.0,4,5633
Harlur,3 BHK,1749.0,3.0,120.0,3,6861
other,3 BHK,1670.0,3.0,75.0,3,4491
Begur,2 BHK,1100.0,2.0,55.0,2,5000
Electronics City Phase 1,2 BHK,1125.0,2.0,65.0,2,5777
BTM Layout,3 BHK,1300.0,2.0,75.0,3,5769
JP Nagar,3 BHK,1600.0,3.0,83.0,3,5187
Magadi Road,3 BHK,1052.0,2.0,60.0,3,5703
Haralur Road,3 BHK,1520.0,2.0,85.0,3,5592
Kanakpura Road,1 BHK,525.0,1.0,26.25,1,5000
Hosa Road,2 BHK,1040.0,2.0,61.0,2,5865
other,3 BHK,1300.0,2.0,67.0,3,5153
Panathur,2 BHK,1140.0,2.0,51.2,2,4491
Kadugodi,3 BHK,1890.0,4.0,125.0,3,6613
other,5 Bedroom,1200.0,6.0,86.0,5,7166
Whitefield,3 Bedroom,1808.0,4.0,80.0,3,4424
Balagere,2 BHK,1007.0,2.0,67.0,2,6653
Doddathoguru,2 BHK,1105.0,2.0,50.0,2,4524
Raja Rajeshwari Nagar,2 BHK,1170.0,2.0,50.0,2,4273
Kaggalipura,3 BHK,1150.0,2.0,62.0,3,5391
Ramamurthy Nagar,2 BHK,1200.0,2.0,57.9,2,4825
other,2 BHK,1200.0,2.0,54.0,2,4500
Kudlu Gate,3 BHK,1656.0,3.0,75.0,3,4528
KR Puram,2 BHK,1040.0,2.0,50.0,2,4807
NRI Layout,4 Bedroom,2150.0,4.0,115.0,4,5348
Panathur,2 BHK,1210.0,2.0,77.0,2,6363
other,2 BHK,1050.0,2.0,55.0,2,5238
Malleshpalya,2 BHK,1421.0,2.0,90.0,2,6333
Old Madras Road,3 BHK,1425.0,2.0,74.31,3,5214
Budigere,2 BHK,1162.0,2.0,58.0,2,4991
Whitefield,1 BHK,905.0,1.0,60.0,1,6629
other,2 BHK,1258.0,2.0,58.0,2,4610
Whitefield,3 BHK,1537.0,2.0,70.0,3,4554
Chikkalasandra,3 BHK,1230.0,2.0,53.51,3,4350
other,8 BHK,3000.0,4.0,130.0,8,4333
Marathahalli,4 BHK,4000.0,4.0,200.0,4,5000
Budigere,3 BHK,1636.0,3.0,85.0,3,5195
7th Phase JP Nagar,3 BHK,1415.0,3.0,65.0,3,4593
Green Glen Layout,3 BHK,1728.0,3.0,125.0,3,7233
Yelahanka,4 Bedroom,3990.0,4.0,260.0,4,6516
Kasavanhalli,2 BHK,1495.0,2.0,83.0,2,5551
Yeshwanthpur,3 BHK,2501.0,3.0,138.0,3,5517
Kanakpura Road,1 BHK,381.0,1.0,28.0,1,7349
Hennur Road,3 BHK,2002.0,3.0,120.0,3,5994
Banjara Layout,2 Bedroom,1200.0,2.0,70.0,2,5833
Bommasandra,3 Bedroom,1942.0,3.0,90.0,3,4634
other,3 BHK,1450.0,3.0,90.0,3,6206
Electronic City,2 BHK,1039.0,2.0,50.0,2,4812
Old Madras Road,2 BHK,1210.0,2.0,80.0,2,6611
Yelahanka,3 BHK,1620.0,3.0,90.0,3,5555
Nehru Nagar,3 BHK,1374.0,3.0,72.0,3,5240
Kanakpura Road,3 BHK,1603.0,3.0,113.0,3,7049
Sarjapur  Road,4 BHK,1864.0,3.0,105.0,4,5633
Whitefield,2 BHK,1186.0,2.0,55.0,2,4637
Electronic City,2 BHK,770.0,1.0,39.9,2,5181
other,3 BHK,1893.0,3.0,115.0,3,6075
Kundalahalli,3 BHK,1496.0,2.0,78.0,3,5213
Electronics City Phase 1,3 BHK,1550.0,2.0,82.0,3,5290
Marathahalli,3 BHK,1200.0,2.0,58.17,3,4847
Badavala Nagar,3 BHK,1494.0,2.0,94.55,3,6328
Electronic City Phase II,2 BHK,1286.0,2.0,69.0,2,5365
Hebbal,3 BHK,1860.0,3.0,95.0,3,5107
Brookefield,2 BHK,1200.0,2.0,75.0,2,6250
Subramanyapura,3 BHK,1278.0,2.0,59.0,3,4616
Vijayanagar,5 Bedroom,2400.0,6.0,125.0,5,5208
Lakshminarayana Pura,2 BHK,1210.0,2.0,75.0,2,6198
Sarjapur  Road,3 BHK,1157.0,2.0,57.84,3,4999
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,51.15,2,4316
Kalena Agrahara,3 BHK,1450.0,3.0,100.0,3,6896
Old Madras Road,3 BHK,1859.0,3.0,121.0,3,6508
Ramamurthy Nagar,3 BHK,1305.0,3.0,60.0,3,4597
Thanisandra,1 BHK,784.0,1.0,35.285,1,4500
Whitefield,3 BHK,1806.0,3.0,85.0,3,4706
Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807
Hennur Road,2 BHK,1232.0,2.0,69.6,2,5649
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Kalyan nagar,2 BHK,1250.0,2.0,65.0,2,5200
Raja Rajeshwari Nagar,2 BHK,1255.0,2.0,53.87,2,4292
Akshaya Nagar,3 BHK,1434.0,3.0,84.0,3,5857
Jakkur,3 BHK,1858.0,3.0,123.0,3,6620
other,2 BHK,1205.0,2.0,70.0,2,5809
other,3 Bedroom,1500.0,3.0,90.0,3,6000
Mysore Road,2 BHK,1020.0,2.0,48.95,2,4799
Thanisandra,2 BHK,965.0,2.0,56.0,2,5803
Battarahalli,2 BHK,1636.0,2.0,82.89,2,5066
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250
Whitefield,2 BHK,1216.0,2.0,67.0,2,5509
Yelahanka,1 BHK,654.0,1.0,36.25,1,5542
Budigere,3 BHK,1636.0,3.0,92.0,3,5623
Hennur Road,2 BHK,1195.0,2.0,73.0,2,6108
other,2 BHK,1250.0,2.0,67.0,2,5360
Whitefield,3 BHK,1452.0,3.0,90.0,3,6198
Thanisandra,3 BHK,1546.0,3.0,95.0,3,6144
JP Nagar,4 BHK,3000.0,3.0,150.0,4,5000
other,1 Bedroom,375.0,1.0,26.0,1,6933
Balagere,2 BHK,1007.0,2.0,66.0,2,6554
Hennur Road,2 BHK,1020.0,2.0,47.0,2,4607
Marathahalli,2 BHK,1125.0,2.0,55.0,2,4888
other,3 BHK,909.0,2.0,43.0,3,4730
other,2 BHK,1400.0,2.0,85.0,2,6071
Kadugodi,2 BHK,1152.0,2.0,61.0,2,5295
Whitefield,2 BHK,1150.0,2.0,55.0,2,4782
Old Madras Road,3 BHK,2990.0,5.0,173.0,3,5785
Bellandur,2 BHK,1310.0,2.0,85.0,2,6488
Green Glen Layout,3 BHK,1645.0,3.0,110.0,3,6686
other,3 Bedroom,1800.0,2.0,100.0,3,5555
Thanisandra,1 BHK,777.0,1.0,38.535,1,4959
Bommanahalli,2 BHK,1020.0,2.0,55.0,2,5392
other,4 Bedroom,750.0,2.0,42.0,4,5600
Anekal,3 BHK,967.0,2.0,45.0,3,4653
Thanisandra,3 BHK,1697.0,3.0,110.0,3,6482
Gottigere,2 BHK,1120.0,2.0,50.0,2,4464
Hennur Road,5 Bedroom,5100.0,6.0,375.0,5,7352
Hebbal,2 BHK,1200.0,2.0,52.0,2,4333
Devarachikkanahalli,3 BHK,1417.0,2.0,76.0,3,5363
Thanisandra,3 BHK,1492.0,3.0,88.0,3,5898
Devanahalli,3 BHK,1498.0,3.0,79.15,3,5283
Kundalahalli,2 BHK,1010.0,2.0,48.27,2,4779
Hennur,2 BHK,1255.0,2.0,53.5,2,4262
Hegde Nagar,3 BHK,1847.0,3.0,125.0,3,6767
other,2 BHK,1200.0,2.0,55.0,2,4583
Hegde Nagar,3 BHK,2144.6,4.0,145.0,3,6761
Kengeri,2 BHK,750.0,2.0,36.5,2,4866
Budigere,2 BHK,1087.0,2.0,54.3,2,4995
other,3 BHK,1480.0,3.0,74.0,3,5000
Tindlu,2 BHK,1180.0,2.0,52.0,2,4406
Jigani,3 BHK,1221.0,3.0,65.0,3,5323
Thanisandra,3 BHK,2072.0,3.0,122.0,3,5888
Whitefield,3 BHK,1600.0,3.0,69.0,3,4312
Sahakara Nagar,3 BHK,2200.0,3.0,98.0,3,4454
Kaikondrahalli,2 BHK,1253.0,2.0,81.5,2,6504
Hennur Road,2 BHK,1061.0,2.0,54.92,2,5176
Marathahalli,3 BHK,1950.0,3.0,115.0,3,5897
Marathahalli,2 BHK,1250.0,2.0,68.0,2,5440
Hennur Road,3 BHK,1585.0,2.0,80.0,3,5047
Begur Road,4 BHK,2464.5,6.0,118.0,4,4787
Marathahalli,2 BHK,1125.0,2.0,56.8,2,5048
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,60.42,2,4257
Thigalarapalya,3 BHK,2072.0,4.0,152.0,3,7335
Kaggadasapura,2 BHK,1240.0,2.0,58.58,2,4724
Chamrajpet,3 BHK,1565.0,3.0,98.91,3,6320
Budigere,3 BHK,1820.0,3.0,89.0,3,4890
Hosa Road,2 BHK,1245.0,2.0,62.0,2,4979
GM Palaya,3 BHK,1315.0,3.0,65.0,3,4942
Kenchenahalli,3 BHK,1410.0,2.0,73.0,3,5177
Dasarahalli,2 BHK,1375.0,2.0,60.0,2,4363
Old Madras Road,2 BHK,1299.0,2.0,95.0,2,7313
other,2 BHK,993.0,2.0,45.5,2,4582
Whitefield,4 BHK,2830.0,5.0,190.0,4,6713
other,1 BHK,6000.0,1.0,276.0,1,4600
other,1 BHK,825.0,2.0,40.0,1,4848
Begur Road,3 BHK,1634.0,3.0,111.0,3,6793
Banaswadi,2 BHK,1222.0,2.0,80.0,2,6546
Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3,5291
Hulimavu,2 BHK,850.0,1.0,39.5,2,4647
Whitefield,2 BHK,1295.0,2.0,78.5,2,6061
2nd Stage Nagarbhavi,4 Bedroom,3000.0,3.0,170.0,4,5666
Harlur,2 BHK,1197.0,2.0,82.0,2,6850
other,3 BHK,1320.0,2.0,60.0,3,4545
Whitefield,1 BHK,840.0,1.0,57.6,1,6857
Kodihalli,2 BHK,1000.0,2.0,62.0,2,6200
Babusapalaya,2 BHK,1305.0,2.0,70.0,2,5363
Whitefield,3 BHK,1991.0,3.0,104.0,3,5223
Battarahalli,3 BHK,1779.0,3.0,90.0,3,5059
Banaswadi,2 BHK,870.0,2.0,38.0,2,4367
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952
Iblur Village,3 BHK,2000.0,4.0,138.0,3,6900
Yelahanka,3 BHK,1614.0,3.0,93.0,3,5762
Sonnenahalli,3 BHK,1610.0,3.0,80.48,3,4998
other,2 BHK,1050.0,2.0,50.0,2,4761
7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643
other,1 Bedroom,600.0,1.0,33.0,1,5500
other,3 BHK,1569.0,3.0,70.0,3,4461
other,3 Bedroom,2600.0,3.0,147.0,3,5653
Electronics City Phase 1,1 BHK,645.0,1.0,42.5,1,6589
Marathahalli,2 BHK,1350.0,2.0,90.0,2,6666
Bannerghatta Road,2 BHK,1215.0,2.0,68.0,2,5596
other,2 BHK,1020.0,2.0,49.0,2,4803
other,3 BHK,1225.0,2.0,82.0,3,6693
Singasandra,2 BHK,1120.0,2.0,60.0,2,5357
Kasavanhalli,3 BHK,1225.0,2.0,69.0,3,5632
Whitefield,4 Bedroom,5200.0,5.0,242.0,4,4653
Sarjapur  Road,3 BHK,1984.0,4.0,145.0,3,7308
ITPL,3 Bedroom,1200.0,3.0,56.12,3,4676
Whitefield,3 BHK,1655.0,3.0,97.0,3,5861
Varthur,3 Bedroom,1200.0,3.0,68.38,3,5698
Kaggadasapura,2 BHK,1000.0,2.0,43.0,2,4300
Hosa Road,3 BHK,1311.0,2.0,84.86,3,6472
Kanakpura Road,3 BHK,1050.0,2.0,59.0,3,5619
other,2 BHK,927.0,2.0,50.0,2,5393
Haralur Road,3 BHK,1650.0,3.0,100.0,3,6060
Kasavanhalli,3 BHK,1917.0,3.0,132.0,3,6885
Billekahalli,2 BHK,950.0,2.0,58.11,2,6116
Hoodi,2 BHK,1257.0,2.0,68.5,2,5449
other,4 Bedroom,2800.0,4.0,200.0,4,7142
Koramangala,2 BHK,1161.0,2.0,63.85,2,5499
Jalahalli,3 BHK,1310.0,2.0,60.0,3,4580
Whitefield,3 Bedroom,1200.0,3.0,67.77,3,5647
other,2 BHK,1000.0,2.0,45.0,2,4500
Old Madras Road,4 Bedroom,4000.0,4.0,225.0,4,5625
Nagavara,2 BHK,1315.0,2.0,70.0,2,5323
Sahakara Nagar,3 BHK,1370.0,2.0,90.0,3,6569
Bellandur,2 BHK,1465.0,3.0,90.0,2,6143
Electronic City,2 BHK,1128.0,2.0,64.0,2,5673
Padmanabhanagar,3 BHK,1250.0,2.0,70.0,3,5600
Hebbal,3 BHK,1645.0,3.0,117.0,3,7112
Horamavu Agara,3 BHK,1284.0,2.0,75.0,3,5841
Haralur Road,3 BHK,1580.0,3.0,73.0,3,4620
Akshaya Nagar,3 Bedroom,2650.0,3.0,125.0,3,4716
Bannerghatta Road,2 BHK,1215.0,2.0,68.0,2,5596
R.T. Nagar,3 BHK,1400.0,2.0,78.0,3,5571
Panathur,2 BHK,1199.0,2.0,85.0,2,7089
Bellandur,3 BHK,1767.0,3.0,109.0,3,6168
Sarjapur  Road,4 BHK,1800.0,3.0,90.0,4,5000
Talaghattapura,3 BHK,1856.0,3.0,135.0,3,7273
Whitefield,2 BHK,1290.0,2.0,90.0,2,6976
Kasavanhalli,2 BHK,1375.0,2.0,78.0,2,5672
other,2 BHK,985.0,2.0,57.0,2,5786
other,7 Bedroom,3600.0,7.0,160.0,7,4444
Marathahalli,2 BHK,1200.0,2.0,53.0,2,4416
Hulimavu,2 BHK,1000.0,2.0,45.0,2,4500
BTM Layout,3 BHK,1540.0,2.0,78.0,3,5064
other,3 BHK,1503.0,2.0,93.0,3,6187
Ambedkar Nagar,3 BHK,1850.0,4.0,120.0,3,6486
other,2 Bedroom,1200.0,2.0,61.0,2,5083
ITPL,3 Bedroom,1200.0,3.0,56.12,3,4676
Thanisandra,3 BHK,1880.0,3.0,120.0,3,6382
Sarjapur  Road,5 BHK,7800.0,6.0,385.0,5,4935
other,3 BHK,1765.0,3.0,77.27,3,4377
Bannerghatta Road,3 BHK,1894.0,3.0,115.0,3,6071
other,3 BHK,1768.0,3.0,95.0,3,5373
Kothanur,3 BHK,1790.0,3.0,97.0,3,5418
Kengeri,4 Bedroom,2540.0,4.0,160.0,4,6299
Mahadevpura,2 BHK,1137.0,2.0,53.4,2,4696
Mysore Road,3 BHK,1568.0,2.0,100.0,3,6377
AECS Layout,2 BHK,1308.0,2.0,60.0,2,4587
Bisuvanahalli,3 BHK,873.0,2.0,40.0,3,4581
other,7 Bedroom,3000.0,6.0,145.0,7,4833
Talaghattapura,3 BHK,2273.0,3.0,159.0,3,6995
Thanisandra,1 BHK,760.0,1.0,50.0,1,6578
Sarjapur  Road,3 BHK,1550.0,2.0,89.0,3,5741
Electronic City,2 BHK,1070.0,2.0,53.0,2,4953
Thanisandra,2 BHK,1200.0,2.0,60.0,2,5000
Raja Rajeshwari Nagar,9 Bedroom,3600.0,9.0,240.0,9,6666
